class,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid,zero_crossing_rate,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
XC316474 - Harpy Eagle - Harpia harpyja.mp3,-574.69196,1.3790323,-7.212139,8.767764,4.5738287,1.4652119,-0.08936706,0.5107302,4.016044,0.6745145,0.64625096,0.3800761,-0.2545588,6365.88969,0.287551798,0.43817472,0.40260863,0.26907867,0.25734854,0.22919565,0.22777848,0.24344195,0.26773596,0.2691414,0.23057322,0.27989703,0.40500686
XC384930 - Harpy Eagle - Harpia harpyja.mp3,-559.4963,5.866985,-14.140156,-0.64293194,-8.966548,10.68714,6.9473553,-4.4202533,7.887846,-4.444697,-7.085754,2.8547916,-0.110326625,5556.374074,0.246035135,0.148779,0.20335363,0.1590677,0.13146992,0.1484263,0.16783959,0.24866103,0.14161402,0.2551142,0.25872678,0.16550831,0.29155883
XC400211 - Blue-and-yellow Macaw - Ara ararauna.mp3,-702.9386,13.190183,-8.295802,-3.2150693,-3.9923172,0.37000602,-0.770278,-0.38427538,-0.31200394,1.29929,-3.4694967,-0.14594506,-0.09823686,8262.33359,0.388462823,0.17511459,0.16274787,0.16441026,0.1729596,0.19200021,0.22396705,0.24086629,0.4382328,0.68541735,0.4451547,0.28233474,0.18522614
XC414804 - Black-collared Hawk - Busarellus nigricollis.mp3,-586.4176,28.070606,-32.699802,-5.8302517,15.645098,11.651545,1.3647064,2.617501,2.297584,4.1861243,2.940743,1.1431789,1.1650051,4720.051832,0.200673107,0.35438547,0.3510108,0.3059206,0.28111395,0.3228677,0.38649246,0.34001264,0.30994475,0.29778913,0.26445103,0.24860045,0.23979703
XC428001 - Pinto's Spinetail - Synallaxis infuscata.mp3,-577.2129,17.637508,-26.102808,1.8885891,12.226505,-10.516962,-5.2873087,5.6409874,5.31094,0.048826747,3.3797665,-0.021336447,-2.3192582,8731.58981,0.370960172,0.34893507,0.30411604,0.29561198,0.33818567,0.35874256,0.33834085,0.4128096,0.44025287,0.3722838,0.26560855,0.23652887,0.300164
XC431338 - Pinto's Spinetail - Synallaxis infuscata.mp3,-729.42896,6.990228,-23.347786,-0.33206272,5.4429708,0.31572634,-9.702204,0.13494365,3.3381965,3.007802,-5.192578,-1.4798971,1.4103391,9397.64865,0.404431228,0.27353173,0.25967014,0.30700222,0.38988954,0.40156603,0.31202626,0.2500446,0.24330443,0.2495797,0.22854649,0.195775,0.2001914
XC431339 - Pinto's Spinetail - Synallaxis infuscata.mp3,-551.8126,22.746601,-61.659225,-22.23644,26.163021,12.221596,-12.725604,-0.42916015,8.66385,6.5702796,-17.646128,-2.6921964,1.3421651,5555.093215,0.254912836,0.2147756,0.13011838,0.2619731,0.4682516,0.33379358,0.2705159,0.24708714,0.22198373,0.15531884,0.13409525,0.17458236,0.24424641
XC431340 - Pinto's Spinetail - Synallaxis infuscata.mp3,-582.56775,4.6326017,-41.866642,-0.578088,12.201528,3.1573577,-9.260708,-0.22649278,1.1831512,0.8947208,-8.249779,0.5616326,-0.6821594,7220.427681,0.327122364,0.33543545,0.23650834,0.22044624,0.26370957,0.3230605,0.27744526,0.22172317,0.1953583,0.20231858,0.2695522,0.3028472,0.33232093
XC431341 - Pinto's Spinetail - Synallaxis infuscata.mp3,-643.3935,5.9138827,-6.454006,3.464971,6.5068088,2.238044,-14.950478,4.3510714,-4.593707,4.8117003,-10.271191,2.4463274,-3.909544,6454.764277,0.271382753,0.29998988,0.1946454,0.20361733,0.23499705,0.28504023,0.3150803,0.3231376,0.37285247,0.33243537,0.2811456,0.27689326,0.31876406
XC435766 - Chestnut-fronted Macaw - Ara severus.mp3,-572.46356,43.962986,-18.034174,6.317765,-12.930393,12.972142,8.91934,9.299761,4.2847996,1.2586601,-3.4818158,2.249688,10.243442,4525.276204,0.16981733,0.27181137,0.27401948,0.30771258,0.39865363,0.4905164,0.5508881,0.48608103,0.29180092,0.27819854,0.28560403,0.3056799,0.3119711
XC449461 - Red-and-green Macaw - Ara chloropterus.mp3,-479.36252,27.913076,-10.3901,15.745028,3.7859845,7.352429,7.0190144,6.8129573,7.777376,4.563753,2.1701002,3.8199944,5.334719,2498.592385,0.097464051,0.4560634,0.47293043,0.49486387,0.5217749,0.5335075,0.5021844,0.47881,0.44252798,0.41981456,0.43563598,0.4685348,0.45863965
XC451627 - Pygmy Nightjar - Nyctipolus hirundinaceus.mp3,-449.65338,47.913143,-13.181338,21.324865,3.7690527,3.5092223,-17.35979,-10.718919,-19.461128,-0.22954178,6.2947626,-2.6371117,-9.513711,5164.341726,0.21111522,0.38922107,0.36262596,0.3268138,0.27199885,0.28392324,0.23760639,0.22598349,0.28462002,0.31351742,0.3813257,0.4262653,0.35433346
XC461457 - Blue-and-yellow Macaw - Ara ararauna.mp3,-835.63983,-17.226646,4.753342,7.914962,-8.16907,3.5010967,15.444575,-14.34283,24.65973,-3.6544526,4.756248,19.494907,-16.647268,10054.14276,0.390536905,0.29222906,0.32757452,0.2032272,0.15991592,0.0680969,0.117305696,0.13577174,0.13119534,0.122321196,0.14814858,0.44557875,0.5971234
XC461483 - Red-and-green Macaw - Ara chloropterus.mp3,-749.63727,21.226282,-13.918499,-3.940148,-1.7619292,-1.3384194,-5.2269654,1.7282076,-1.4532104,1.4333177,-3.7066972,-3.5626767,0.004290365,7305.12768,0.290941569,0.32934093,0.34213525,0.37370038,0.3399928,0.29534486,0.35250023,0.3848417,0.36109444,0.29181015,0.24901134,0.26178184,0.31441408
XC486992 - Red-throated Caracara - Ibycter americanus.mp3,-503.3425,16.317715,-48.980194,-15.378177,4.004077,2.1460187,5.7754784,0.59019434,-1.2923667,3.0471904,2.7220614,-1.9568628,-6.092943,3357.975197,0.147827575,0.22162461,0.19011813,0.15993501,0.15192452,0.17227907,0.21466672,0.2566049,0.24707817,0.29431692,0.35660556,0.32148638,0.29850566
XC504212 - Little Nightjar - Setopagis parvula.mp3,-641.1089,31.619553,-30.49227,-26.261524,-3.9020393,2.5539951,-0.94508237,-1.8021591,-11.912733,-0.18705182,7.6737547,5.097647,1.1692203,4815.934011,0.210635218,0.2849553,0.2515125,0.17921478,0.15767527,0.17695059,0.21018966,0.2077904,0.22753821,0.3050724,0.2566931,0.22646855,0.34395486
XC506367 - Black-collared Hawk - Busarellus nigricollis.mp3,-585.30365,5.7499533,-17.760925,0.79834634,6.8082094,-2.2188578,-9.69395,0.5961835,7.2086234,-3.0242853,-6.3363223,1.5054625,4.699649,5406.59716,0.246794348,0.047611807,0.06702802,0.123242125,0.16317448,0.2090531,0.24486308,0.4857483,0.5233057,0.21678156,0.12803529,0.06321362,0.06335582
XC525178 - Black-faced Antbird - Myrmoborus myotherinus.mp3,-645.1789,27.264387,-22.347515,-1.6604044,9.239283,5.319155,-5.9828773,-4.7863226,4.672308,1.5514323,-0.4815958,0.21826874,-2.1387587,3709.10758,0.159897293,0.3236506,0.27364194,0.20323554,0.18482427,0.17473306,0.19279857,0.23622155,0.27533415,0.26325306,0.19165665,0.22583821,0.26775575
XC525179 - Black-faced Antbird - Myrmoborus myotherinus.mp3,-647.56305,6.6820884,-16.292543,3.5265872,9.026027,-1.1459082,-3.9114487,9.878501,6.936468,-8.366875,-5.079823,10.607867,5.1602945,5228.847758,0.214542331,0.22708286,0.1698357,0.17498602,0.20642005,0.23436068,0.24647479,0.30689475,0.38800174,0.3991643,0.25615475,0.17323643,0.20904799
XC536171 - Red-throated Caracara - Ibycter americanus.mp3,-640.53503,11.618359,-14.275477,-3.0344276,-9.608678,1.0259873,-0.6738865,0.91727585,1.5620522,-2.7346969,-1.9959588,-2.3290427,-4.7722735,8704.40297,0.331859519,0.1812174,0.1972852,0.17850131,0.22004193,0.42455772,0.3309851,0.18151113,0.13873583,0.16774811,0.25908262,0.38754484,0.23579524
XC536204 - Black-faced Antbird - Myrmoborus myotherinus.mp3,-579.4045,54.3859,13.379402,6.899742,-7.811479,-5.2458878,6.6938796,7.339632,-3.9292848,-0.10104535,-4.7687516,-2.9613025,-2.4140444,6285.111898,0.193117628,0.4774614,0.5101535,0.4364152,0.34785348,0.3603971,0.42587516,0.4495157,0.32770714,0.2375721,0.25990856,0.3375912,0.3942511
XC549870 - Chestnut-fronted Macaw - Ara severus.mp3,-644.8924,1.9270343,-66.06338,-22.645176,-14.625247,-7.172602,-5.795626,-5.153856,0.49348933,-1.6165711,3.3744273,-1.5531855,-5.0851574,9870.263134,0.373416702,0.3090056,0.42154112,0.4941543,0.43578637,0.35003534,0.14489675,0.1426156,0.15224233,0.17496994,0.16316138,0.19029692,0.27943435
XC561388 - Chestnut-fronted Macaw - Ara severus.mp3,-766.4909,-7.190111,-45.524082,-27.468767,-6.288139,-7.245424,5.946223,-7.123529,3.9682658,0.07296689,0.5390731,4.750183,-5.637828,11261.64519,0.433224985,0.2578196,0.3208324,0.42866054,0.4213408,0.38952607,0.2276227,0.12779339,0.106475465,0.13981906,0.24419773,0.24609455,0.24762088
XC586093 - Little Nightjar - Setopagis parvula.mp3,-648.6641,14.171563,-19.023071,-22.122465,-3.691074,9.395618,6.465363,-1.6411035,-3.6354795,0.58761555,2.7919738,-0.4438172,-1.9929676,4108.271911,0.174834934,0.42453596,0.29107183,0.12925275,0.19053525,0.2637275,0.18361503,0.13830297,0.102064036,0.081002645,0.0813046,0.17263387,0.39120796
XC616212 - Chestnut-fronted Macaw - Ara severus.mp3,-603.57074,13.324757,-66.17118,-7.352269,-5.379412,-0.9615698,-5.032392,2.9791167,-5.948862,-0.10088077,0.19734542,-2.2496777,0.7448338,6679.077547,0.280947817,0.30818364,0.28686172,0.31938618,0.30622402,0.25503898,0.19450201,0.14738424,0.13135278,0.17675696,0.29767653,0.34095204,0.366178
XC642648 - Red-throated Caracara - Ibycter americanus.mp3,-558.02594,32.935963,-66.54478,-38.529114,-10.793214,-8.97088,-0.93906665,-6.5957994,1.8913692,-4.8629265,3.6891901,-0.37593615,-5.828904,9173.996181,0.346134482,0.3916385,0.38793606,0.34459642,0.3068574,0.29174712,0.30229807,0.17546315,0.10924097,0.14964521,0.18319769,0.24508666,0.3754599
XC663642 - Black-collared Hawk - Busarellus nigricollis.mp3,-822.91254,24.33628,-3.67597,6.875263,5.2693896,5.1389084,2.153148,1.3934226,8.281349,6.358895,4.4894114,4.5520177,3.6573827,4142.470138,0.173143334,0.44952905,0.46153584,0.39030465,0.32141185,0.3311104,0.3388542,0.44833386,0.446477,0.3030182,0.291268,0.3249195,0.3908237
XC671314 - Chestnut-fronted Macaw - Ara severus.mp3,-668.8772,36.656765,-32.13421,-6.443492,4.71266,8.244163,11.28764,6.0214233,5.3304796,4.070283,3.1957786,2.5173533,2.8141859,3996.115307,0.148101492,0.37647498,0.3811392,0.35453147,0.41723502,0.46271068,0.4222646,0.4088507,0.37484848,0.35333192,0.3618019,0.3595176,0.35040033
XC693288 - Yellow-crowned Amazon - Amazona ochrocephala.mp3,-665.15686,16.069092,-37.433773,-9.727152,-7.3353148,-2.8834414,5.267945,2.1570807,-0.7694462,-4.8803654,0.7259744,-0.093947135,-4.3632064,5832.680924,0.219292961,0.26438975,0.27408057,0.2641259,0.1971158,0.19548461,0.29396605,0.31066874,0.2045078,0.26117197,0.26287627,0.2540768,0.261777
XC696016 - Black-collared Hawk - Busarellus nigricollis.mp3,-601.785,0.1210828,-17.790781,4.6692758,6.5353394,0.07931136,-11.89553,-1.9923638,2.6707006,-0.8709675,-0.18576795,-1.7726365,0.070854254,8644.990051,0.364500214,0.10052074,0.21369484,0.29527944,0.28891104,0.27717593,0.18284409,0.19462454,0.17633428,0.25903943,0.31439415,0.2033589,0.12438951
XC706382 - Blue-and-yellow Macaw - Ara ararauna.mp3,-557.58105,35.723938,-46.421944,-14.304586,3.7312062,-18.391771,-0.100328766,-6.5223293,-6.20913,-4.3171644,0.18375234,2.9402587,3.2064192,8945.796253,0.375389528,0.39527348,0.37566313,0.3078995,0.2425148,0.30318913,0.21866994,0.25457588,0.24294314,0.21978945,0.25812528,0.23877907,0.33572778
XC708578 - Harpy Eagle - Harpia harpyja.mp3,-614.9155,-6.832551,-16.200495,21.368168,5.5034,0.60405624,-3.8459804,8.464835,8.102942,-3.6832776,-7.341197,7.4488754,8.443092,6311.841393,0.273576848,0.24754268,0.16660216,0.13327135,0.15625489,0.19739819,0.2502063,0.25911385,0.24835894,0.28873658,0.19742028,0.11847223,0.21777265
XC712286 - Pinto's Spinetail - Synallaxis infuscata.mp3,-695.2896,-10.00638,-22.615597,6.764243,-17.717777,21.54112,0.044827957,-13.206438,14.464059,0.014505753,-3.6854656,14.080666,-9.076445,7568.835682,0.319441778,0.2155953,0.26386037,0.27665803,0.20955005,0.13586882,0.101938866,0.12078676,0.19249927,0.27981767,0.32074633,0.39290673,0.35224497
XC716854 - Chestnut-fronted Macaw - Ara severus.mp3,-625.99756,28.17958,-39.947292,-15.745233,-0.5314023,-3.9589725,-0.76777536,-9.736367,-2.298448,-7.8764095,-6.6777134,0.011131467,-1.5672518,8226.841262,0.272274939,0.24389222,0.31912252,0.33474043,0.35104892,0.3215625,0.29238978,0.21662529,0.21873777,0.23625417,0.1750492,0.16934063,0.19604613
XC737372 - Blue-and-yellow Macaw - Ara ararauna.mp3,-572.7439,26.183495,-51.80593,-19.772364,-13.84215,-10.726844,0.41982856,5.329365,3.1755447,1.2697996,0.75069356,0.93933725,0.9709655,6588.596835,0.294602825,0.21928893,0.19231974,0.17404781,0.17894414,0.24704514,0.32995728,0.37845734,0.38403076,0.37373486,0.35853407,0.25278273,0.18150665
XC788509 - Chestnut-fronted Macaw - Ara severus.mp3,-558.9098,34.14917,-3.7266898,3.6016088,6.796056,5.3169413,4.471526,2.9188821,2.216698,1.2826755,-0.18564245,1.4949744,2.127465,1599.76478,0.062930769,0.2954262,0.35194358,0.39457953,0.42868513,0.46353418,0.4972665,0.47114295,0.43328035,0.40787795,0.3723995,0.32457417,0.29946074
